Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season
E1,2020-09-19,Norwich,Preston,2.0,2.0,D,2021
E1,2020-10-03,Norwich,Derby,0.0,1.0,A,2021
E1,2020-10-20,Norwich,Birmingham,1.0,0.0,H,2021
E1,2020-10-24,Norwich,Wycombe,2.0,1.0,H,2021
E1,2020-11-03,Norwich,Millwall,0.0,0.0,D,2021
E1,2020-11-07,Norwich,Swansea,1.0,0.0,H,2021
E1,2020-11-28,Norwich,Coventry,1.0,1.0,D,2021
E1,2020-12-05,Norwich,Sheffield Weds,2.0,1.0,H,2021
E1,2020-12-09,Norwich,Nott'm Forest,2.0,1.0,H,2021
E1,2020-12-19,Norwich,Cardiff,2.0,0.0,H,2021
E1,2020-12-29,Norwich,QPR,1.0,1.0,D,2021
E1,2021-01-02,Norwich,Barnsley,1.0,0.0,H,2021
E1,2021-01-20,Norwich,Bristol City,2.0,0.0,H,2021
E1,2021-01-30,Norwich,Middlesbrough,0.0,0.0,D,2021
E1,2021-02-13,Norwich,Stoke,4.0,1.0,H,2021
E1,2021-02-20,Norwich,Rotherham,1.0,0.0,H,2021
E1,2021-03-03,Norwich,Brentford,1.0,0.0,H,2021
E1,2021-03-06,Norwich,Luton,3.0,0.0,H,2021
E1,2021-03-20,Norwich,Blackburn,1.0,1.0,D,2021
E1,2021-04-06,Norwich,Huddersfield,7.0,0.0,H,2021
E1,2021-04-17,Norwich,Bournemouth,1.0,3.0,A,2021
E1,2021-04-20,Norwich,Watford,0.0,1.0,A,2021
E1,2021-05-01,Norwich,Reading,4.0,1.0,H,2021
E0,2019-08-17,Norwich,Newcastle,3.0,1.0,H,2020
E0,2019-08-24,Norwich,Chelsea,2.0,3.0,A,2020
E0,2019-09-14,Norwich,Man City,3.0,2.0,H,2020
E0,2019-10-05,Norwich,Aston Villa,1.0,5.0,A,2020
E0,2019-10-27,Norwich,Man United,1.0,3.0,A,2020
E0,2019-11-08,Norwich,Watford,0.0,2.0,A,2020
E0,2019-12-01,Norwich,Arsenal,2.0,2.0,D,2020
E0,2019-12-08,Norwich,Sheffield United,1.0,2.0,A,2020
E0,2019-12-21,Norwich,Wolves,1.0,2.0,A,2020
E0,2019-12-28,Norwich,Tottenham,2.0,2.0,D,2020
E0,2020-01-01,Norwich,Crystal Palace,1.0,1.0,D,2020
E0,2020-01-18,Norwich,Bournemouth,1.0,0.0,H,2020
E0,2020-02-15,Norwich,Liverpool,0.0,1.0,A,2020
E0,2020-02-28,Norwich,Leicester,1.0,0.0,H,2020
E0,2020-06-19,Norwich,Southampton,0.0,3.0,A,2020
E0,2020-06-24,Norwich,Everton,0.0,1.0,A,2020
E0,2020-07-04,Norwich,Brighton,0.0,1.0,A,2020
E0,2020-07-11,Norwich,West Ham,0.0,4.0,A,2020
E0,2020-07-18,Norwich,Burnley,0.0,2.0,A,2020
E1,2018-08-11,Norwich,West Brom,3.0,4.0,A,2019
E1,2018-08-22,Norwich,Preston,2.0,0.0,H,2019
E1,2018-08-25,Norwich,Leeds,0.0,3.0,A,2019
E1,2018-09-15,Norwich,Middlesbrough,1.0,0.0,H,2019
E1,2018-09-29,Norwich,Wigan,1.0,0.0,H,2019
E1,2018-10-06,Norwich,Stoke,0.0,1.0,A,2019
E1,2018-10-23,Norwich,Aston Villa,2.0,1.0,H,2019
E1,2018-10-27,Norwich,Brentford,1.0,0.0,H,2019
E1,2018-11-10,Norwich,Millwall,4.0,3.0,H,2019
E1,2018-12-01,Norwich,Rotherham,3.0,1.0,H,2019
E1,2018-12-08,Norwich,Bolton,3.0,2.0,H,2019
E1,2018-12-26,Norwich,Nott'm Forest,3.0,3.0,D,2019
E1,2018-12-29,Norwich,Derby,3.0,4.0,A,2019
E1,2019-01-18,Norwich,Birmingham,3.0,1.0,H,2019
E1,2019-01-26,Norwich,Sheffield United,2.0,2.0,D,2019
E1,2019-02-10,Norwich,Ipswich,3.0,0.0,H,2019
E1,2019-02-23,Norwich,Bristol City,3.0,2.0,H,2019
E1,2019-03-08,Norwich,Swansea,1.0,0.0,H,2019
E1,2019-03-13,Norwich,Hull,3.0,2.0,H,2019
E1,2019-04-06,Norwich,QPR,4.0,0.0,H,2019
E1,2019-04-10,Norwich,Reading,2.0,2.0,D,2019
E1,2019-04-19,Norwich,Sheffield Weds,2.0,2.0,D,2019
